_DATE	host	cpuusage	memusage	nodecpu	locustusers	
2017-03-12-10:57:00	rssserver-63g53	1.0	2.4498176E7	0.9952499866485596	10.0	
2017-03-12-10:57:00	rssserver-63g53	1.0	2.4498176E7	0.9952499866485596	10.0	
2017-03-12-10:56:00	rssserver-63g53	0.0	2.4481792E7	0.9952499866485596	10.0	
2017-03-12-10:56:00	rssserver-63g53	0.0	2.4481792E7	0.9952499866485596	10.0	
2017-03-12-10:55:00	rssserver-63g53	0.0	2.4469504E7	0.9952499866485596	10.0	
2017-03-12-10:55:00	rssserver-63g53	0.0	2.4469504E7	0.9952499866485596	10.0	
2017-03-12-10:54:00	rssserver-63g53	0.0	2.4444928E7	0.9952499866485596	5.0	
2017-03-12-10:54:00	rssserver-63g53	0.0	2.4444928E7	0.9952499866485596	5.0	
2017-03-12-10:53:00	rssserver-63g53	0.0	2.1839872E7	0.9952499866485596	5.0	
2017-03-12-10:53:00	rssserver-63g53	0.0	2.1839872E7	0.9952499866485596	5.0	
2017-03-12-10:52:00	rssserver-63g53	0.0	2.177024E7	0.9955000281333923	5.0	
2017-03-12-10:52:00	rssserver-63g53	0.0	2.177024E7	0.9955000281333923	5.0	
2017-03-12-10:51:00	rssserver-63g53	0.0	2.1757952E7	0.9955000281333923	3.0	
2017-03-12-10:51:00	rssserver-63g53	0.0	2.1757952E7	0.9955000281333923	3.0	
2017-03-12-10:50:00	rssserver-63g53	0.0	2.0680704E7	0.7384999990463257	3.0	
2017-03-12-10:50:00	rssserver-63g53	0.0	2.0680704E7	0.7384999990463257	3.0	
2017-03-12-10:49:00	rssserver-63g53	0.0	1.9439616E7	0.04075000062584877	3.0	
2017-03-12-10:49:00	rssserver-63g53	0.0	1.9439616E7	0.04075000062584877	3.0	
2017-03-12-10:48:00	rssserver-63g53	0.0	1.9439616E7	0.045499999076128006	0.0	
2017-03-12-10:48:00	rssserver-63g53	0.0	1.9439616E7	0.045499999076128006	0.0	
2017-03-12-10:47:00	rssserver-63g53	0.0	1.9439616E7	0.03725000098347664	0.0	
2017-03-12-10:47:00	rssserver-63g53	0.0	1.9439616E7	0.03725000098347664	0.0	
2017-03-12-10:46:00	rssserver-63g53	0.0	1.9439616E7	0.5707499980926514	0.0	
2017-03-12-10:46:00	rssserver-63g53	0.0	1.9439616E7	0.5707499980926514	0.0	
2017-03-12-10:45:00	rssserver-63g53	0.0	1.9439616E7	0.04500000178813934	0.0	
2017-03-12-10:45:00	rssserver-63g53	0.0	1.9439616E7	0.04500000178813934	0.0	
2017-03-12-10:44:00	rssserver-63g53	0.0	1.9439616E7	0.0430000014603138	0.0	
2017-03-12-10:44:00	rssserver-63g53	0.0	1.9439616E7	0.0430000014603138	0.0	
2017-03-12-10:43:00	rssserver-63g53	0.0	1.9439616E7	0.9922500252723694	0.0	
2017-03-12-10:43:00	rssserver-63g53	0.0	1.9439616E7	0.9922500252723694	0.0	
2017-03-12-10:42:00	rssserver-63g53	0.0	1.9439616E7	0.9957500100135803	0.0	
2017-03-12-10:42:00	rssserver-63g53	0.0	1.9439616E7	0.9957500100135803	0.0	
2017-03-12-10:41:00	rssserver-63g53	0.0	1.9439616E7	0.10949999839067459	0.0	
2017-03-12-10:41:00	rssserver-63g53	0.0	1.9439616E7	0.10949999839067459	0.0	
2017-03-12-10:40:00	rssserver-63g53	0.0	1.9439616E7	0.038750000298023224	0.0	
2017-03-12-10:40:00	rssserver-63g53	0.0	1.9439616E7	0.038750000298023224	0.0	
2017-03-12-10:39:00	rssserver-63g53	0.0	1.9439616E7	0.0430000014603138	0.0	
2017-03-12-10:39:00	rssserver-63g53	0.0	1.9439616E7	0.0430000014603138	0.0	
2017-03-12-10:38:00	rssserver-63g53	0.0	1.9439616E7	0.0430000014603138	0.0	
2017-03-12-10:38:00	rssserver-63g53	0.0	1.9439616E7	0.0430000014603138	0.0	
2017-03-12-10:37:00	rssserver-63g53	0.0	1.9439616E7	0.035999998450279236	0.0	
2017-03-12-10:37:00	rssserver-63g53	0.0	1.9439616E7	0.035999998450279236	0.0	
2017-03-12-10:36:00	rssserver-63g53	0.0	1.9439616E7	0.0494999997317791	0.0	
2017-03-12-10:36:00	rssserver-63g53	0.0	1.9439616E7	0.0494999997317791	0.0	
